town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Portland,Cumberland,68854.0,Hazard overlay before growth,near-term housing search; high housing need; hazard-overlay first,Sample climate assets are present; run FEMA/MGS/wetlands/conservation/DEM overlays before growth claims.,73.04,67.34,43.12,84.36,35.78,41.49,51.32,11.21,15.4,16.87,12.66,15.36,5.16,6.59,0.09,8.0,0.0,0.0,6.0,2.0
Lewiston,Androscoggin,38324.0,Near-term housing search,near-term housing search; high housing need; hazard-overlay first,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,66.36,70.39,57.61,62.55,42.33,40.71,51.68,20.04,17.21,18.35,19.51,20.58,0.58,11.19,0.18,3.0,0.0,0.0,0.0,3.0
Bangor,Penobscot,31938.0,Near-term housing search,near-term housing search; high housing need; sample asset review,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,63.32,66.36,55.07,61.89,38.19,39.56,51.52,17.87,14.79,19.89,20.68,16.65,0.21,7.1,0.17,1.0,0.0,0.0,0.0,1.0
Waterville,Kennebec,17077.0,Near-term housing search,near-term housing search; high housing need,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,60.04,68.0,57.31,56.03,38.7,38.81,50.5,20.61,17.18,18.33,18.64,14.37,0.26,5.78,0.37,0.0,0.0,0.0,0.0,0.0
Orono,Penobscot,11902.0,Near-term housing search,near-term housing search; high housing need,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,58.4,72.05,49.86,54.28,36.32,46.29,58.06,24.88,7.16,11.43,11.42,6.84,1.43,3.56,0.0,0.0,0.0,0.0,0.0,0.0
Augusta,Kennebec,19077.0,Near-term housing search,near-term housing search; high housing need; hazard-overlay first,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,58.19,65.03,55.44,54.05,39.54,38.81,49.18,18.22,13.58,21.51,20.98,18.93,1.51,9.1,0.38,3.0,0.0,0.0,0.0,3.0
Auburn,Androscoggin,24602.0,Near-term housing search,near-term housing search; high housing need,High need and infrastructure proxy make this a strong candidate for parcel-level housing suitability screening.,57.53,63.01,48.69,54.63,38.88,42.58,53.4,13.8,10.47,19.83,20.19,21.36,0.99,13.3,0.16,0.0,0.0,0.0,0.0,0.0
South Portland,Cumberland,26930.0,Hazard overlay before growth,near-term housing search; hazard-overlay first,Sample climate assets are present; run FEMA/MGS/wetlands/conservation/DEM overlays before growth claims.,56.66,56.97,36.6,65.01,28.21,43.29,55.63,6.94,7.82,20.72,13.24,14.67,0.81,3.52,0.25,9.0,0.0,0.0,9.0,0.0
Old Town,Penobscot,7470.0,Affordability and parcel screen,high housing need,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",55.97,67.21,52.23,52.72,36.49,41.56,50.31,21.33,10.06,16.85,16.36,21.82,1.44,4.71,0.0,0.0,0.0,0.0,0.0,0.0
Eustis,Franklin,453.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,55.53,88.35,71.86,44.57,55.08,51.25,66.02,22.96,12.37,38.63,26.71,15.45,61.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Machias,Washington,2020.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",55.47,71.18,60.05,43.84,42.61,43.85,58.92,25.6,11.0,20.2,19.33,15.89,0.71,9.98,0.0,2.0,0.0,0.0,2.0,0.0
Van Buren,Aroostook,1858.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",55.01,65.26,72.49,43.36,45.38,39.64,40.68,23.04,13.33,35.25,32.37,15.61,2.89,9.26,0.0,0.0,0.0,0.0,0.0,0.0
Grand Isle,Aroostook,407.0,Affordability and parcel screen,high housing need,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",54.43,67.81,64.34,45.23,40.01,42.57,75.47,20.88,9.42,33.42,26.54,10.57,3.92,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Hamlin,Aroostook,111.0,Affordability and parcel screen,high housing need,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",54.39,70.5,64.0,48.96,44.64,52.63,100.0,17.12,3.77,40.54,29.73,7.21,11.76,4.0,1.89,0.0,0.0,0.0,0.0,0.0
Dexter,Penobscot,3822.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",54.07,66.71,63.13,43.46,44.74,35.71,65.2,23.08,12.58,19.73,28.92,16.22,3.35,12.38,0.39,0.0,0.0,0.0,0.0,0.0
Madawaska,Aroostook,3853.0,Affordability and parcel screen,high housing need; sample asset review,"Housing need is high; run parcel screening to find buildable, low-risk, infrastructure-efficient locations.",53.57,70.86,59.4,48.05,41.93,43.77,59.96,13.0,19.15,28.78,23.26,20.14,13.91,0.0,2.29,2.0,2.0,0.0,0.0,0.0
Rumford,Oxford,5942.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap; sample asset review,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",53.45,70.36,61.42,40.51,47.68,38.03,59.1,22.61,13.64,27.18,20.1,18.06,7.92,14.67,0.3,1.0,0.0,0.0,0.0,1.0
Caribou,Aroostook,7382.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.94,59.47,52.76,50.77,34.89,38.58,45.29,15.5,11.86,27.31,18.67,16.19,1.17,4.31,1.02,0.0,0.0,0.0,0.0,0.0
Brunswick,Cumberland,22336.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.85,54.89,37.09,57.28,31.91,39.32,56.38,7.7,6.84,22.95,13.74,17.24,1.73,10.74,0.0,0.0,0.0,0.0,0.0,0.0
Presque Isle,Aroostook,8736.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.69,58.52,50.07,51.29,32.94,37.44,47.26,15.47,9.88,22.56,19.79,18.04,0.43,3.19,0.96,0.0,0.0,0.0,0.0,0.0
Biddeford,York,22498.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.64,56.07,42.5,55.86,35.02,34.82,37.21,15.48,8.02,17.14,13.94,15.65,6.81,9.85,0.09,1.0,0.0,0.0,1.0,0.0
Rockland,Knox,7035.0,Monitor and screen after hazard layers,sample asset review,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.49,59.93,47.11,54.49,32.12,41.31,57.63,10.39,11.81,25.36,18.72,15.47,3.55,1.84,0.0,1.0,0.0,0.0,1.0,0.0
Westbrook,Cumberland,20775.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,52.09,51.15,33.55,61.29,25.84,37.02,46.06,7.97,6.0,18.06,12.09,18.51,0.52,3.74,0.31,0.0,0.0,0.0,0.0,0.0
Belfast,Waldo,6986.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",52.07,64.72,59.51,44.34,45.5,35.88,47.42,16.05,16.5,39.06,17.49,14.21,9.51,13.01,0.88,0.0,0.0,0.0,0.0,0.0
North Washington UT,Washington,620.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,52.06,83.69,72.17,37.52,59.68,46.26,100.0,25.48,2.22,37.26,32.58,25.16,60.06,4.57,7.11,0.0,0.0,0.0,0.0,0.0
East Millinocket,Penobscot,1495.0,Infrastructure capacity build-out,high housing need; infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",51.91,64.65,59.68,44.05,41.43,34.31,74.11,21.67,9.95,25.82,24.75,20.4,5.87,8.17,0.0,0.0,0.0,0.0,0.0,0.0
